player_id;player_name;Conteggio
392591;Chiedozie Ogbene;6
421637;Frank Onyeka;4
426192;Ben Brereton Díaz;9
468198;Joe Aribo;3
485583;Ki-Jana Hoever;10
559130;Harrison Ashby;4
567114;Liam Morrison;3
568005;Jeremy Sarmiento;11
581330;Eiran Cashin;3
614811;Joe White;5
624967;Kion Etete;4
646353;Carl Rushworth;6
670883;Dane Scarlett;5
724783;Tawanda Chirewa;6
741236;Matthew Cox;4
741267;Sam Curtis;2
862297;Nasser Djiga;3
863734;Filip Lissah;2
865993;David Ozoh;3
874043;Louie Marsh;3
874538;Ryan Trevitt;5
878150;Amario Cozier-Duberry;3
888639;Ethan Wheatley;3
931841;Amar Fatah;4
954104;Jayden Meghoma;3
967319;Romain Esse;2
1178758;Malick Yalcouyé;5
1074990;Luca Reggiani;1
468301;Marcos Antônio;3
1375227;Thiago Pitarch;1
461670;Bogdan Biloshevskyi;1
1302421;João Neto;1
39333;Caner Erkin;4
484995;Noha Ndombasi;3
268642;Renzo Saravia;2
1279157;Benno Kaltefleiter;1
913387;Danylo Kolesnyk;4
89222;Yaroslav Rakitskyi;3
745573;Halil Bağcı;1
126719;Juan Bernat;10
934519;Elione Fernandes Neto;3
1082832;Ryan;1
199321;Rubén Blanco;6
261935;Albert Vallci;2
404844;Tymofiy Sukhar;2
448867;Maksym Lopyryonok;1
524539;David Riegler;1
580623;Elias Scherf;5
740555;Matej Cechal;1
803045;Furkan Dursun;3
848656;David Djuric;1
924859;Rory Wilson;1
49693;Andreas Weimann;7
548031;Yusuf Demir;4
867691;Rassa Rahmani;1
1113024;Vasilije Markovic;1
78961;Gary Mackay-Steven;3
715956;Damir Redzic;1
1413094;Berkay İrşad Göç;2
52059;Zanka;4
134883;Daniele Baselli;7
143812;Matías Vecino;8
183318;Jamaal Lascelles;6
186233;Giorgi Kvilitaia;2
190685;Bouna Sarr;5
197751;Alberto Cerri;23
221958;Roman Yaremchuk;2
226524;Morten Thorsby;6
250426;Adam Armstrong;9
256120;Wilfrid Kaptoum;7
272642;Allan Saint-Maximin;9
278531;Sebastiano Luperto;13
286949;Adam Masina;7
293169;Josip Brekalo;10
303116;Gaetano Castrovilli;7
339816;Tete Morente;4
353404;Gaëtan Perrin;4
388220;Sayfallah Ltaief;1
400542;Oliver Olsen;1
406040;Ademola Lookman;10
406634;Matt O'Riley;5
406806;Emil Bohinen;10
419648;Veljko Birmancevic;3
429983;Jørgen Strand Larsen;5
452877;Mehdi Merghem;4
457673;Gabriel Strefezza;9
467563;Armel Bella-Kotchap;6
495839;Andrias Edmundsson;1
524285;Luca Netz;3
575319;Kandet Diawara;5
592979;Himad Abdelli;3
620696;Ibrahim Diabate;1
626953;Álvaro Núñez;2
649022;Moussa Ndiaye;1
675565;Thomas Kastanaras;3
678655;Philip Otele;1
683625;Jacen Russell-Rowe;1
696164;Tim Oermann;6
706815;Harvey Davies;2
711996;Warmed Omari;6
734676;Jonas Adjetey;1
763948;Ayodele Thomas;1
830365;Alisson Santos;1
887433;Kadan Young;1
889435;Obed Vargas;1
903611;Nilson Angulo;1
910905;Mamadou Sarr;6
911736;Sverre Nypan;3
920470;Tochukwu Nnadi;1
921655;Ismaël Koné;7
930998;Yannick Eduardo;5
954105;Jamaldeen Jimoh-Aloba;1
961297;Rodrigo Mendoza;2
974995;Dalangunypole Gomis;2
1009441;Felipe Chávez;1
1011200;Junior Mwanga;6
1058520;Otto Stange;2
1063574;Jan Salas;3
1078326;Noah Edjouma;2
1082581;Pedro Felipe;1
1099924;Yael Trepy;1
1116191;Luis Engelns;2
1153105;Yassir Zabiri;1
1170286;Darryl Bakola;2
1231993;Adrian Lahdo;1
1241211;Rudy Matondo;2
1300966;Branimir Mlacic;1
1309324;Uchenna Ogundu;1
85941;Stefan Ortega;4
105521;Ciro Immobile;19
261503;Álvaro Fidalgo;1
605426;Melker Ellborg;1
742770;Mohamed Touré;2
1307004;Nathan Mbala;1
1314671;Bernard Nguene;2
203853;Oleksandr Zinchenko;5
357778;Sandro Kulenović;1
367284;Leo Østigård;15
398163;Gonzalo Villar;10
495752;Taichi Hara;4
581326;Ville Koski;1
822958;Tim Drexler;6
1007378;Wesley;1
1018395;Adrian Przyborek;1
464195;Filip Stojilkovic;4
523895;Paul Koller;4
647280;Kieron Bowie;1
661207;Oscar Bobb;2
862606;Nesta Elphege;3
997478;Othniël Raterink;1
1009440;Jan Bürger;1
80312;Mykyta Shevchenko;1
307800;Lion Lauberbach;4
404848;Andriy Kulakov;1
457674;Alessandro Di Pardo;4
539795;Bryan Okoh;4
673432;Jovan Mijatovic;1
685805;João Gonçalves;1
985806;Alex Freeman;1
1082774;Amorim;1
1118293;Fynn Schenten;1
134425;Raheem Sterling;6
193079;Scott Fraser;4
204103;Adama Traoré;7
349536;Nico Mantl;4
354352;Frédéric Guilbert;14
702911;Luis Asué;1
1124136;Ángel Pérez;3
67556;Milan Djuric;15
331726;Tammy Abraham;10
380350;Igor Julio;12
455922;Jan Olschowsky;2
726721;Gonçalo Esteves;3
916430;Edoardo Motta;1
940135;Christos Papadopoulos;3
1012564;Rayan;1
1104206;Agustín Albarracín;1
127076;Jérôme Roussillon;8
342385;Guido Rodríguez;3
413502;Óscar Pinchi;3
424302;Andrei Vlad;1
912392;Lucas Cepeda;1
1071596;Dro Fernández;2
942738;Milan Aleksic;2
268327;Mathias Rasmussen;1
1005165;Giovane;2
64399;Vicente Guaita;8
357995;Davide Bettella;10
420213;Quinten Timber;1
973805;Andrés Ferrari;3
1086701;Jussef Nasrawe;1
147078;Fran Vélez;2
320748;Sebastian Szymański;1
549378;Sander Tangvik;1
557410;Noah Ohio;4
624942;Raúl Moro;8
942103;Lapo Siviero;1
1004203;Keiber Lamadrid;1
1086258;Souza;1
1223408;Samet Akif Duyur;1
139435;Dani Rodríguez;2
203938;Branco van den Boomen;2
387626;Leon Bailey;4
562049;Edoardo Bove;4
640432;Xavier Mbuyamba;1
844516;Luis Vázquez;1
921345;Tay Abed;1
1166473;Raphaël Le Guen;1
264116;Gastón Pereiro;6
315121;Justin Bijlow;1
386164;Silvester van der Water;1
423444;Fran Beltrán;3
496871;Rob Nizet;1
527279;Emilio Kehrer;1
957461;Andrés Gómez;2
998101;Alex Tóth;1
1144627;Kento Shiogai;1
60543;Mathieu Gorgelin;5
70359;David Simão;2
392757;Marc Guéhi;7
407624;Quentin Daubin;3
646747;Rafa Obrador;2
731466;Teddy Sharman-Lowe;1
802515;Noah Nartey;1
944724;Ali Youssif;1
298975;Pol Lirola;15
324223;James Bree;8
741142;Zaid Romero;1
1151929;Gessime Yassine;1
898352;Sebastián Boselli;1
1101641;Justin Kalumba;2
1129198;Eivind Helland;1
1322090;Jocelin Ta Bi;1
167741;Mattia Valoti;17
317482;Marko Rog;9
405885;Giacomo Raspadori;6
644613;Sadik Fofana;6
652996;Said Hamulic;7
726701;Rodrigo Ribeiro;2
1012731;Luis Balbo;1
1150105;Pharell Hensel;1
1169153;Viktor Uliganets;2
232271;Sofiane Boufal;7
317442;Mark Grosse;2
344565;Vitaliy Lisakovich;1
462086;Elayis Tavsan;4
488362;Conor Gallagher;6
620832;Ryan Fosso;1
877124;Rosen Bozhinov;1
897481;Eric da Silva Moreira;3
1131161;Robinio Vaz;2
1162654;Noam Obougou;1
182712;João Cancelo;11
470422;Triantafyllos Pasalidis;2
905013;Chilohem Onuoha;2
980575;Oumar Ngom;1
1038268;Dmitriy Melnik;1
1235583;Suleman Sani;1
372712;Ibrahima Sissoko;4
424900;Tom Holmes;6
456492;Faride Alidou;7
530298;Christian Conteh;2
965947;Evan Eghosa Aisowieren;1
1011936;Kaye Furo;1
92572;Joel Ward;4
170961;Thomas Delaine;5
181768;Hernani;7
470394;Kenneth Taylor;1
583255;Antoine Semenyo;3
732165;Ronnie Edwards;4
746833;Caleb Wiley;5
780548;Omri Gandelman;1
997566;Simon Kalambayi;1
1083069;Isaac;1
88680;Luca Caldirola;15
224164;Rostyslav Taranukha;3
334810;Ludvig Fritzson;1
337715;Umar Sadiq;16
846254;Petar Ratkov;2
935760;Rafiu Durosinmi;1
